rank,movie,num_theaters,tot_gross,release_date,distrib
22,The New Mutants,2754,23852659,2020-08-28,20th Century Studios
23,Wonder Woman 1984,2218,46801036,2020-12-25,Warner Bros.
24,Like a Boss,3081,22169514,2020-01-10,Paramount Pictures
25,The Grudge,2642,21221803,2020-01-03,Sony Pictures Releasing
26,Unhinged,2402,20831465,2020-08-14,Solstice Studios
27,The Photograph,2516,20578185,2020-02-14,Universal Pictures
28,The War with Grandpa,2365,21277892,2020-10-09,101 Studios
29,Underwater,2791,17291078,2020-01-10,20th Century Fox
30,The Turning,2571,15472775,2020-01-24,Universal Pictures
31,Gretel & Hansel,3007,15347654,2020-01-31,United Artists Releasing
32,Honest Thief,2502,14163574,2020-10-09,Open Road Films (II)
33,My Hero Academia: Heroes Rising,1231,13304000,2020-02-26,FUNimation Entertainment
34,Bombshell,1721,31762808,2020-12-13,Lionsgate
35,The Way Back,2718,13590514,2020-03-06,Warner Bros.
36,Brahms: The Boy II,2151,12611536,2020-02-21,STX Entertainment
37,Jojo Rabbit,1173,33370906,2020-10-18,Fox Searchlight Pictures
38,Impractical Jokers: The Movie,1900,10691091,2020-02-21,truTV
39,Ford v Ferrari,3746,117624357,2020-11-15,20th Century Fox
40,Emma.,1732,10055355,2020-02-21,Focus Features
41,Bloodshot,2861,12561824,2020-03-13,Sony Pictures Releasing
42,I Still Believe,3250,9868521,2020-03-13,Lionsgate
43,Come Play,2183,10475990,2020-10-30,Focus Features
44,Let Him Go,2458,9358025,2020-11-06,Focus Features
45,Freaky,2472,9030855,2020-11-13,Universal Pictures
46,Downhill,2311,8287061,2020-02-14,Searchlight Pictures
47,Weathering with You,1020,8056636,2020-01-15,GKIDS
48,Cats,3380,27166770,2020-12-20,Universal Pictures
49,The Hunt,3028,5812500,2020-03-13,Universal Pictures
50,The Rhythm Section,3049,5437971,2020-01-31,Paramount Pictures
51,Monster Hunter,1817,15162470,2020-12-18,Screen Gems
52,A Beautiful Day in the Neighborhood,3491,61704055,2020-11-22,Sony Pictures Releasing
53,Hocus Pocus,2570,43846,2020-10-02,Walt Disney Studios Motion Pictures
54,Richard Jewell,2502,22345542,2020-12-13,Warner Bros.
55,The SpongeBob Movie: Sponge on the Run,326,4810790,2020-08-14,Paramount Pictures
56,The Broken Hearts Gallery,2221,4067442,2020-09-11,TriStar Pictures
57,Infidel,1885,4051990,2020-09-18,Cloudburst Entertainment
58,News of the World,1986,12668325,2020-12-25,Universal Pictures
59,Portrait of a Lady on Fire,334,3759854,2020-12-06,Neon
60,Bill & Ted Face the Music,1007,3439660,2020-08-28,United Artists Releasing
61,2020 Oscar Nominated Short Films,536,3306611,2020-01-31,Magnolia Pictures
62,Queen & Slim,1715,43808310,2020-11-27,Universal Pictures
63,The Empty Man,2051,2992948,2020-10-23,20th Century Studios
64,My Boyfriend's Meds,350,2971116,2020-02-21,Pantelion Films
65,The Last Full Measure,617,2949212,2020-01-24,Roadside Attractions
66,Words on Bathroom Walls,1395,2542518,2020-08-21,Roadside Attractions
67,Star Wars: Episode V - The Empire Strikes Back,2097,2482000,2020-07-10,Walt Disney Studios Motion Pictures
68,Fatale,1222,6306897,2020-12-18,Lionsgate
69,The Nightmare Before Christmas,2194,2286000,2020-10-16,Walt Disney Studios Motion Pictures
70,Ip Man 4: The Finale,125,3956031,2020-12-25,Well Go USA Entertainment
71,Half Brothers,1386,2241980,2020-12-04,Focus Features
72,Elf,850,2182679,2020-11-13,New Line Cinema
73,The Personal History of David Copperfield,1550,1876298,2020-08-28,Searchlight Pictures
74,The Wretched,101,1814193,2020-05-01,IFC Films
75,The Lodge,395,2138907,2020-02-07,Neon
76,Joker,4374,335451311,2020-10-04,Warner Bros.
77,The Rental,250,1637548,2020-07-24,IFC Films
78,Once Upon a Time... in Hollywood,3659,142502728,2020-07-26,Sony Pictures Releasing
79,Jurassic Park,316,1386600,2020-06-19,Universal Pictures
80,2 Hearts,1683,1349286,2020-10-16,Freestyle Releasing
81,Promising Young Woman,1448,6460965,2020-12-25,Focus Features
82,True to the Game 2,281,1200871,2020-11-06,Faith Media Distribution
83,Peninsula,151,1231407,2020-08-07,Well Go USA Entertainment
84,The Assistant,25,1100313,2020-01-31,Bleecker Street Media
85,Love and Monsters,387,1070714,2020-10-16,Paramount Pictures
86,Relic,133,1047083,2020-07-03,IFC Films
87,The Tax Collector,138,1044212,2020-08-07,RLJ Entertainment
88,The Last Shift,886,1034467,2020-09-25,Stage 6 Films
89,Becky,54,1004574,2020-06-05,Quiver Distribution
90,The Song of Names,182,1077584,2020-12-25,Sony Pictures Classics
91,All My Life,970,913935,2020-12-04,Universal Pictures
92,Mafia Inc,85,889863,2020-02-14,Entertainment One
93,National Lampoon's Christmas Vacation,620,871000,2020-11-25,Warner Bros.
94,Jay and Silent Bob Reboot,788,4589490,2020-10-15,Saban Films
95,A Hidden Life,151,1730597,2020-12-13,Fox Searchlight Pictures
96,Cut Throat City,389,855894,2020-08-21,Well Go USA Entertainment
97,The Goonies,457,825000,2020-07-10,Warner Bros.
98,Sarileru Neekevvaru,300,821000,2020-01-10,Great India Films
99,Vanguard,1375,793525,2020-11-20,Gravitas Ventures
100,21 Bridges,2665,28539757,2020-11-22,STX Entertainment
101,Jaws,187,758300,2020-06-19,Universal Pictures
102,Possessor,320,752885,2020-10-02,Neon
103,After We Collided,546,2386483,2020-10-23,Open Road Films (II)
104,Coco,3987,210460015,2020-11-22,Walt Disney Studios Motion Pictures
105,Toy Story,2102,727000,2020-11-06,Walt Disney Studios Motion Pictures
106,"Monsters, Inc.",1875,726000,2020-10-23,Walt Disney Studios Motion Pictures
107,Baaghi 3,265,721439,2020-03-06,FIP
108,The Santa Clause,1581,706000,2020-11-20,Walt Disney Studios Motion Pictures
109,Patterns of Evidence: The Red Sea Miracle,807,696191,2020-02-18,Fathom Events
110,Pain and Glory,266,4567338,2020-10-04,Sony Pictures Classics
111,The Polar Express,450,711000,2020-12-04,Warner Bros.
112,The Last Vermeer,912,685380,2020-11-20,TriStar Pictures
113,The Addams Family,1307,678926,2020-10-23,United Artists Releasing
114,Merci pour tout,76,1073969,2020-12-25,Entertainment One
115,Maleficent: Mistress of Evil,3820,113929605,2020-10-18,Walt Disney Studios Motion Pictures
116,Ghostbusters,622,605000,2020-07-03,Columbia Pictures
117,Chhapaak,100,604334,2020-01-10,FIP
118,Shortcut,704,588869,2020-09-25,Gravitas Ventures
119,Panga,102,582720,2020-01-24,FIP
120,Midway,3242,56846802,2020-11-08,Lionsgate
121,Black Christmas,2625,10429730,2020-12-13,Universal Pictures
122,Synchronic,327,636673,2020-10-23,Well Go USA Entertainment
123,Guardians of the Galaxy,1560,542000,2020-11-13,Walt Disney Studios Motion Pictures
124,Color Out of Space,81,765561,2020-01-24,RLJ Entertainment
125,Followed,100,538179,2020-06-19,Global View Entertainment
126,Alone,173,537589,2020-09-18,Magnolia Pictures
127,Harriet,2186,43082155,2020-11-01,Focus Features
128,Kajillionaire,547,531430,2020-09-25,Focus Features
129,The Addams Family,4107,100044905,2020-10-11,United Artists Releasing
130,Madagascar,NA,516210,2020-12-25,Universal Pictures
131,100% Wolf,124,658764,2020-10-09,Viva Pictures
132,The Big Ugly,68,514107,2020-07-24,Vertical Entertainment
133,The Call,195,516521,2020-10-02,Atlas Distribution Company
134,The Grinch,450,473781,2020-11-27,Universal Pictures
135,Dark Waters,2112,11136084,2020-11-22,Focus Features
136,The Forgotten Carols,70,502252,2020-11-20,Purdie Distribution
137,Spell,369,500104,2020-10-30,Paramount Pictures
138,Ava,252,497747,2020-09-25,Vertical Entertainment
139,Pinocchio,824,1831718,2020-12-25,Roadside Attractions
140,Beauty and the Beast,527,467000,2020-07-17,Walt Disney Pictures
141,Once Were Brothers,152,449561,2020-02-21,Magnolia Pictures
142,Seberg,373,434702,2020-02-21,Amazon Studios
143,Iron Man,462,430000,2020-07-17,Walt Disney Pictures
144,Fantastic Fungi,37,1788322,2020-09-20,Area 23a
145,Infamous,58,429148,2020-06-12,Vertical Entertainment
146,Tulsa,192,413378,2020-08-21,Pryor Entertainment
147,Stevie Nicks 24 Karat Gold the Concert,413,410265,2020-10-21,Trafalgar Releasing
148,Buddy Games,401,405904,2020-11-20,Paramount Pictures
149,Black Panther,421,367000,2020-07-10,Walt Disney Pictures
150,The Kid Detective,865,364138,2020-10-16,Stage 6 Films
151,She Dies Tomorrow,24,398663,2020-07-31,Neon
152,Greed,596,355308,2020-02-28,Sony Pictures Classics
153,Yellow Rose,900,367849,2020-10-09,Stage 6 Films
154,Ride Your Wave,605,332432,2020-02-19,Fathom Events
155,The Eight Hundred,142,372755,2020-08-28,CMC Pictures
156,Les Misérables,69,330181,2020-01-10,Amazon Studios
157,Die Hard,1172,325000,2020-12-04,Walt Disney Studios Motion Pictures
158,Clemency,127,364716,2020-12-27,Neon
159,Ordinary Love,22,323688,2020-02-14,Bleecker Street Media
160,Casper,2757,100836847,2020-05-26,Universal Pictures
161,The Informer,283,300460,2020-11-06,Vertical Entertainment
162,Playing with Fire,3185,44451847,2020-11-08,Paramount Pictures
163,Save Yourselves!,388,301162,2020-10-02,Bleecker Street Media
164,Judy,1627,24313888,2020-09-27,Roadside Attractions
165,The Traitor,45,296027,2020-01-31,Sony Pictures Classics
166,Gremlins,64,295000,2020-07-10,-
167,How the Grinch Stole Christmas,300,420180,2020-12-04,Universal Pictures
168,Mystify: Michael Hutchence,597,289573,2020-01-07,Fathom Events
169,Created Equal: Clarence Thomas in His Own Words,53,282149,2020-01-31,Manifold Productions Inc.
170,Fatman,259,278378,2020-11-13,Saban Films
171,An American in Paris,651,267824,2020-01-19,Fathom Events
172,Wonder Woman,560,252000,2020-12-11,Warner Bros.
173,Back to the Future,258,247000,2020-07-31,Universal Pictures
174,Bohemian Rhapsody,NA,240000,2020-07-17,20th Century Fox
175,63 Up,28,483684,2020-11-27,BritBox
176,Tokyo Godfathers,519,237571,2020-03-09,Fathom Events
177,Blind Eyes Opened,534,234505,2020-01-23,Fathom Events
178,The Climb,408,234429,2020-11-13,Sony Pictures Classics
179,Doctor Who Live Q&A And Screening,692,228615,2020-01-05,Fathom Events
180,CatVideoFest 2020,84,437625,2020-02-21,Oscilloscope
181,Wild Mountain Thyme,450,213440,2020-12-11,Bleecker Street Media
182,The Secrets We Keep,471,207928,2020-09-16,Bleecker Street Media
183,Jiang Ziya,55,214670,2020-10-01,Well Go USA Entertainment
184,Fate/stay night [Heaven's Feel] III. spring song,304,200000,2020-11-18,Fathom Events
185,Ashfall,18,372562,2020-12-19,Capelight Pictures
186,National Theater Live: Cyrano de Bergerac,472,198352,2020-02-20,Fathom Events
187,Zombieland: Double Tap,3468,73123082,2020-10-18,Sony Pictures Releasing
188,Cunningham,23,265102,2020-12-13,Magnolia Pictures
189,The Doors: Break On Thru - A Celebration Of Ray Manzarek,330,190160,2020-02-12,Trafalgar Releasing
190,The Outpost,81,186635,2020-07-03,Fathom Events
191,The Wolf of Snow Hollow,112,185026,2020-10-09,United Artists Releasing
192,Come Away,475,184477,2020-11-13,Relativity Media
193,The Good Liar,2454,17156058,2020-11-15,Warner Bros.
194,And Then We Danced,23,177262,2020-02-07,Music Box Films
195,Beanpole,35,196258,2020-01-29,Kino Lorber
196,Follow Me,50,167962,2020-09-18,Vertical Entertainment
197,Extra Ordinary,80,164346,2020-03-06,Good Deed Entertainment
198,Palm Springs,66,164000,2020-07-10,Neon
199,A Call to Spy,79,159014,2020-10-02,IFC Films
200,Love Story,650,153504,2020-02-09,Fathom Events
1,Spider-Man: No Way Home,4336,804793477,2021-12-17,Sony Pictures Releasing
2,Shang-Chi and the Legend of the Ten Rings,4300,224543292,2021-09-03,Walt Disney Studios Motion Pictures
3,Venom: Let There Be Carnage,4225,213550366,2021-10-01,Sony Pictures Releasing
4,Black Widow,4275,183651655,2021-07-09,Walt Disney Studios Motion Pictures
5,F9: The Fast Saga,4203,173005945,2021-06-25,Universal Pictures
6,Eternals,4090,164870234,2021-11-05,Walt Disney Studios Motion Pictures
7,No Time to Die,4407,160891007,2021-10-08,Metro-Goldwyn-Mayer (MGM)
8,A Quiet Place Part II,3744,160072261,2021-05-28,Paramount Pictures
9,Ghostbusters: Afterlife,4315,129360575,2021-11-19,Sony Pictures Releasing
10,Free Guy,4165,121626598,2021-08-13,20th Century Studios
11,Jungle Cruise,4310,116987516,2021-07-30,Walt Disney Studios Motion Pictures
12,Godzilla vs. Kong,3084,100916094,2021-03-31,Warner Bros.
13,Dune: Part One,4125,108327830,2021-10-22,Warner Bros.
14,Halloween Kills,3727,92002155,2021-10-15,Universal Pictures
15,Encanto,3980,96093622,2021-11-24,Walt Disney Studios Motion Pictures
16,Cruella,3922,86103234,2021-05-28,Walt Disney Studios Motion Pictures
17,Sing 2,3892,162790990,2021-12-22,Universal Pictures
18,Space Jam: A New Legacy,4002,70592228,2021-07-16,Warner Bros.
19,The Conjuring: The Devil Made Me Do It,3280,65631050,2021-06-04,Warner Bros.
20,Candyman,3569,61186570,2021-08-27,Universal Pictures
21,The Boss Baby 2: Family Business,3688,57300280,2021-07-02,Universal Pictures
22,The Addams Family 2,4207,56489153,2021-10-01,United Artists Releasing
23,The Suicide Squad,4019,55817425,2021-08-06,Warner Bros.
24,Raya and the Last Dragon,2375,54723032,2021-03-05,Walt Disney Studios Motion Pictures
25,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2087,49505008,2021-04-23,FUNimation Entertainment
26,Clifford the Big Red Dog,3700,48947356,2021-11-10,Paramount Pictures
27,House of Gucci,3477,53809574,2021-11-24,United Artists Releasing
28,Old,3379,48276510,2021-07-23,Universal Pictures
29,Tom & Jerry,2563,46536687,2021-02-26,Warner Bros.
30,The Forever Purge,3058,44539245,2021-07-02,Universal Pictures
31,Peter Rabbit 2: The Runaway,3346,40501717,2021-06-11,Sony Pictures Releasing
32,PAW Patrol: The Movie,3189,40127371,2021-08-20,Paramount Pictures
33,Hitman's Wife's Bodyguard,3361,38014727,2021-06-16,Lionsgate
34,Mortal Kombat,3114,42326031,2021-04-23,Warner Bros.
35,Don't Breathe 2,3005,32712950,2021-08-13,Screen Gems
36,In the Heights,3509,29975167,2021-06-11,Warner Bros.
37,Snake Eyes,3540,28264325,2021-07-23,Paramount Pictures
38,West Side Story,2820,38530322,2021-12-10,20th Century Studios
39,The Matrix Resurrections,3552,37686805,2021-12-22,Warner Bros.
40,Wrath of Man,3007,27466489,2021-05-07,United Artists Releasing
41,Nobody,2567,27568035,2021-03-26,Universal Pictures
42,The Croods: A New Age,2211,58568815,2021-11-25,Universal Pictures
43,Escape Room: Tournament of Champions,2815,25314753,2021-07-16,Sony Pictures Releasing
44,Respect,3207,24278399,2021-08-13,Metro-Goldwyn-Mayer (MGM)
45,Wonder Woman 1984,2218,46801036,2021-12-25,Warner Bros.
46,Spiral,2991,23216862,2021-05-14,Lionsgate
47,Ron's Gone Wrong,3560,23009270,2021-10-22,20th Century Studios
48,Spirit Untamed,3394,17716215,2021-06-04,Universal Pictures
49,The Green Knight,2798,17173321,2021-07-30,A24
50,Resident Evil: Welcome to Raccoon City,2803,17000612,2021-11-24,Screen Gems
51,The King's Man,3180,37176373,2021-12-22,20th Century Studios
52,The French Dispatch,1225,16124375,2021-10-22,Searchlight Pictures
53,The Marksman,2018,15566093,2021-01-15,Open Road Films (II)
54,The Unholy,2057,15532137,2021-04-02,Screen Gems
55,The Little Things,2206,15342746,2021-01-29,Warner Bros.
56,Dear Evan Hansen,3364,15002646,2021-09-24,Universal Pictures
57,King Richard,3302,15129285,2021-11-19,Warner Bros.
58,Stillwater,2611,14465535,2021-07-30,Focus Features
59,Christmas with the Chosen: The Messengers,1700,13728000,2021-12-01,Fathom Events
60,Malignant,3501,13391791,2021-09-10,Warner Bros.
61,Chaos Walking,2132,13287908,2021-03-05,Lionsgate
62,My Hero Academia: World Heroes' Mission,1585,12271658,2021-10-29,FUNimation Entertainment
63,American Underdog,2813,26514814,2021-12-25,Lionsgate
64,The Last Duel,3065,10853945,2021-10-15,20th Century Studios
65,Antlers,2800,10619670,2021-10-29,Searchlight Pictures
66,Cry Macho,4022,10310734,2021-09-17,Warner Bros.
67,Monster Hunter,1817,15162470,2021-12-18,Screen Gems
68,Last Night in Soho,3016,10127625,2021-10-29,Focus Features
69,News of the World,1986,12668325,2021-12-25,Universal Pictures
70,The Many Saints of Newark,3181,8237403,2021-10-01,Warner Bros.
71,The Protégé,2577,7446823,2021-08-20,Lionsgate
72,The Night House,2240,7100581,2021-08-20,Searchlight Pictures
73,Spencer,1265,7086632,2021-11-05,Neon
74,Belfast,1255,9250870,2021-11-12,Focus Features
75,Nightmare Alley,2145,11338107,2021-12-17,Searchlight Pictures
76,Those Who Wish Me Dead,3379,7407200,2021-05-14,Warner Bros.
77,The Courier,1641,6613432,2021-03-19,Roadside Attractions
78,Judas and the Black Messiah,1906,5478009,2021-02-12,Warner Bros.
79,Licorice Pizza,1977,17318007,2021-11-26,United Artists Releasing
80,Promising Young Woman,1448,6460965,2021-12-25,Focus Features
81,Roadrunner: A Film About Anthony Bourdain,954,5354970,2021-07-16,Focus Features
82,Copshop,3005,5213243,2021-09-17,Open Road Films (II)
83,Zola,1468,4844399,2021-06-30,A24
84,Separation,1911,4509143,2021-04-30,Open Road Films (II)
85,Boogie,1272,4178620,2021-03-05,Focus Features
86,Fatale,1222,6306897,2021-12-18,Lionsgate
87,A Journal for Jordan,2500,6545174,2021-12-25,Sony Pictures Releasing
88,Reminiscence,3265,3900193,2021-08-20,Warner Bros.
89,12 Mighty Orphans,1047,3689637,2021-06-11,Sony Pictures Releasing
90,Sooryavanshi,491,3547776,2021-11-05,Reliance Entertainment
91,Pig,588,3186668,2021-07-16,Neon
92,The Girl Who Believes in Miracles,1012,3163362,2021-04-02,Atlas Distribution Company
93,Voyagers,1996,3149935,2021-04-09,Lionsgate
94,Minari,912,3110580,2021-02-12,A24
95,'83,486,4055660,2021-12-23,Reliance Entertainment
96,Dream Horse,1284,2913328,2021-05-21,Bleecker Street Media
97,The House Next Door: Meet the Blacks 2,539,2893660,2021-06-11,Hidden Empire Film Group (HEFG)
98,Here Today,1230,2807494,2021-05-07,Stage 6 Films
99,Finding You,1447,2753985,2021-05-14,Roadside Attractions
100,Lamb,865,2676410,2021-10-08,A24
101,The Card Counter,739,2657850,2021-09-10,Focus Features
102,Land,1349,2577830,2021-02-12,Focus Features
103,The War with Grandpa,2365,21277892,2021-10-09,101 Studios
104,The Eyes of Tammy Faye,1352,2404127,2021-09-17,Searchlight Pictures
105,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",752,2320649,2021-06-25,Searchlight Pictures
106,After We Fell,1294,2170750,2021-09-10,Vertical Entertainment
107,Queen Bees,600,1926706,2021-06-11,Gravitas Ventures
108,The Father,933,2122771,2021-02-26,Sony Pictures Classics
109,Show Me the Father,1073,1803226,2021-09-10,Affirm Films
110,C'mon C'mon,569,1863674,2021-11-19,A24
111,Profile,2104,1744740,2021-05-14,Focus Features
112,Titane,562,1442988,2021-10-01,Neon
113,Together Together,665,1437938,2021-04-23,Bleecker Street Media
114,Joe Bell,1094,1405488,2021-07-23,Roadside Attractions
115,Nomadland,1200,3700000,2021-02-19,Searchlight Pictures
116,Pinocchio,824,1831718,2021-12-25,Roadside Attractions
117,Pushpa: The Rise - Part 1,400,1320000,2021-12-17,Hamsini Entertainment
118,Scott Pilgrim vs. the World,448,1867625,NA,Universal Pictures
119,Wrong Turn,259,1251184,2021-01-26,Saban Films
120,Honsla Rakh,100,1800000,2021-10-15,-
121,God's Not Dead: We the People,565,1170367,2021-10-04,Fathom Events
122,In the Earth,571,1113723,2021-04-16,Neon
123,The Rescue,561,1060556,2021-10-08,Greenwich Entertainment
124,Sword Art Online: Progressive - Aria of a Starless Night,840,1050000,2021-12-03,FUNimation Entertainment
125,True to the Game 3,440,1038255,2021-12-03,Faith Media Distribution
126,Long Weekend,821,1018532,2021-03-12,Stage 6 Films
127,The Jesus Music,270,1016725,2021-10-01,Lionsgate
128,Love Story,300,971000,2021-09-24,Sony Pictures Releasing
129,Come Play,2183,10475990,2021-10-30,Focus Features
130,Little Eggs: An African Rescue,320,927154,2021-08-27,Pantelion Films
131,Witnesses,90,855765,2021-06-04,Purdie Distribution
132,Scoob!,NA,2188425,2021-05-21,Warner Bros.
133,The Alpinist,245,844743,2021-09-10,Roadside Attractions
134,Four Good Days,489,837849,2021-04-30,Vertical Entertainment
135,The Mauritanian,287,836536,2021-02-12,STX Entertainment
136,Lamb of God: The Concert Film,138,744813,2021-03-12,Excel Entertainment
137,Blue Bayou,487,788675,2021-09-17,Focus Features
138,French Exit,493,741895,2021-02-12,Sony Pictures Classics
139,L'Arracheuse de temps,72,750623,2021-11-19,Entertainment One
140,Nine Days,443,694849,2021-07-30,Sony Pictures Classics
141,Our Friend,818,663725,2021-01-22,Gravitas Ventures
142,Chal Mera Putt 3,90,644000,2021-10-01,Rhythm Boyz Entertainment
143,The Sparks Brothers,534,648665,2021-06-18,Focus Features
144,"If I Can't Have Love, I Want Power",122,626946,2021-08-25,IMAX
145,Aline,72,667815,2021-11-26,Roadside Attractions
146,Werewolves Within,270,575783,2021-06-25,IFC Films
147,City of Lies,502,572493,2021-03-19,Saban Films
148,Anita,15,556632,2021-11-12,CMC Pictures
149,Courageous,1023,504855,2021-09-24,Affirm Films
150,The Truffle Hunters,105,521202,2021-03-05,Sony Pictures Classics
151,For the Love of Money,519,480774,2021-11-24,Freestyle Releasing
152,National Champions,1197,475488,2021-12-10,STX Entertainment
153,Jathi Ratnalu,130,470000,2021-03-12,Flyhigh Cinemas
154,Most Eligible Bachelor,195,470000,2021-10-15,-
155,Tenet,2930,58504105,2021-09-03,Warner Bros.
156,World War Z,80,448000,2021-05-28,Paramount Pictures
157,The Lost Leonardo,217,445740,2021-08-13,Sony Pictures Classics
158,2021 Oscar Nominated Short Films: Live Action,184,443050,2021-04-02,Magnolia Pictures
159,Flag Day,196,424667,2021-08-20,United Artists Releasing
160,Willy's Wonderland,171,418286,2021-02-12,Screen Media Films
161,Top Gun,153,457577,2021-05-14,Paramount Pictures
162,Dutch,202,404371,2021-03-12,Faith Media Distribution
163,Ghostbusters,774,391718,2021-10-29,Sony Pictures Classics
164,The Metropolitan Opera HD Live: Mussorgsky: Boris Godunov,791,387000,2021-10-08,Fathom Events
165,Crisis,216,404738,2021-02-26,Quiver Distribution
166,Red Rocket,385,1023086,2021-12-10,A24
167,Julia,288,399811,2021-11-12,Sony Pictures Classics
168,Ghost in the Shell,124,373169,2021-09-17,Lionsgate
169,The Dry,186,364237,2021-05-21,IFC Films
170,"Dad, I'm Sorry",NA,350000,2021-05-28,3388 Films
171,The Battle at Lake Changjin,20,342411,2021-11-19,CMC Pictures
172,The Emperor's New Groove,744,334000,2021-01-15,Walt Disney Studios Motion Pictures
173,Benedetta,201,354481,2021-12-03,IFC Films
174,Freaky,2472,9030855,2021-11-13,Universal Pictures
175,Drive My Car,213,2352240,2021-11-24,Janus Films
176,Final Account,308,308976,2021-05-21,Focus Features
177,The Water Man,311,383234,2021-05-07,RLJ Entertainment
178,New Order,236,303556,2021-05-21,Neon
179,India Sweets and Spices,343,288714,2021-11-19,Bleecker Street Media
180,Blithe Spirit,239,282500,2021-02-19,IFC Films
181,American Skin,72,282332,2021-01-15,Vertical Entertainment
182,I'm Your Man,122,275155,2021-09-24,Bleecker Street Media
183,Escape from Mogadishu,42,346271,2021-08-06,Well Go USA Entertainment
184,Raging Fire,59,385305,2021-08-13,Well Go USA Entertainment
185,A Mouthful of Air,816,269435,2021-10-29,Stage 6 Films
186,Rita Moreno: Just a Girl Who Decided to Go for It,227,264626,2021-06-18,Roadside Attractions
187,Weathering with You,1020,8056636,2021-01-15,GKIDS
188,Once I Was Engaged,32,254775,2021-07-21,Excel Entertainment
189,Supernova,330,234220,2021-01-29,Bleecker Street Media
190,Becoming Cousteau,319,231687,2021-10-22,Picturehouse
191,Half Brothers,1386,2241980,2021-12-04,Focus Features
192,Limbo,213,224405,2021-04-30,Focus Features
193,Promare,701,2529324,2021-09-17,GKIDS
194,Together,250,214390,2021-08-27,Universal Pictures
195,The Swimming Pool,10,211467,2021-05-14,Rialto Distribution
196,Ailey,88,204513,2021-07-23,Neon
197,The Lady of Heaven,59,291597,2021-12-10,Universal Pictures International (UPI)
198,Groundhog Day,845,200989,2021-01-29,Sony Pictures Classics
199,The Resort,114,191996,2021-04-30,Vertical Entertainment
200,Kaamelott: First Installment,26,188000,2021-07-23,Paramount Pictures
1,Top Gun: Maverick,4751,718732821,2022-05-27,Paramount Pictures
2,Black Panther: Wakanda Forever,4396,453829060,2022-11-11,Walt Disney Studios Motion Pictures
3,Doctor Strange in the Multiverse of Madness,4534,411331607,2022-05-06,Walt Disney Studios Motion Pictures
4,Avatar: The Way of Water,4340,684075767,2022-12-16,20th Century Studios
5,Jurassic World: Dominion,4697,376851080,2022-06-10,Universal Pictures
6,Minions: The Rise of Gru,4427,370549695,2022-07-01,Universal Pictures
7,The Batman,4417,369345583,2022-03-04,Warner Bros.
8,Thor: Love and Thunder,4375,343256830,2022-07-08,Walt Disney Studios Motion Pictures
9,Spider-Man: No Way Home,4336,804793477,2022-12-17,Sony Pictures Releasing
10,Sonic the Hedgehog 2,4258,190872904,2022-04-08,Paramount Pictures
11,Black Adam,4402,168152111,2022-10-21,Warner Bros.
12,Elvis,3932,151040048,2022-06-24,Warner Bros.
13,Uncharted,4275,148648820,2022-02-18,Sony Pictures Releasing
14,Nope,3807,123277080,2022-07-22,Universal Pictures
15,Lightyear,4255,118307188,2022-06-17,Walt Disney Studios Motion Pictures
16,Smile,3659,105935048,2022-09-30,Paramount Pictures
17,The Lost City,4283,105344029,2022-03-25,Paramount Pictures
18,Bullet Train,4357,103368602,2022-08-05,Sony Pictures Releasing
19,The Bad Guys,4042,97459240,2022-04-22,Universal Pictures
20,Fantastic Beasts: The Secrets of Dumbledore,4245,95850844,2022-04-15,Warner Bros.
21,DC League of Super-Pets,4332,93657117,2022-07-29,Warner Bros.
22,Where the Crawdads Sing,3650,90230760,2022-07-15,Sony Pictures Releasing
23,The Black Phone,3156,90123230,2022-06-24,Universal Pictures
24,Sing 2,3892,162790990,2022-12-22,Universal Pictures
25,Scream,3666,81641405,2022-01-14,Paramount Pictures
26,Morbius,4268,73865530,2022-04-01,Columbia Pictures
27,Everything Everywhere All at Once,2220,77191785,2022-03-25,A24
28,Ticket to Paradise,4066,68275985,2022-10-21,Universal Pictures
29,The Woman King,3765,67328130,2022-09-16,TriStar Pictures
30,Halloween Ends,3901,64079860,2022-10-14,Universal Pictures
31,Dog,3827,61778069,2022-02-18,United Artists Releasing
32,Jackass Forever,3653,57743451,2022-02-04,Paramount Pictures
33,Puss in Boots: The Last Wish,4121,186090535,2022-12-21,Universal Pictures
34,Violent Night,3723,50057405,2022-12-02,Universal Pictures
35,"Lyle, Lyle, Crocodile",4350,46888441,2022-10-07,Sony Pictures Releasing
36,Death on the Nile,3420,45630104,2022-02-11,20th Century Studios
37,Don't Worry Darling,4121,45309403,2022-09-23,Warner Bros.
38,Downton Abbey: A New Era,3830,44141550,2022-05-20,Focus Features
39,Barbarian,2890,40842944,2022-09-09,20th Century Studios
40,Dragon Ball Super: Super Hero,3018,38112140,2022-08-19,Crunchyroll
41,Strange World,4174,37968963,2022-11-23,Walt Disney Studios Motion Pictures
42,The Menu,3228,38501125,2022-11-18,Searchlight Pictures
43,Jujutsu Kaisen 0,2418,34542754,2022-03-18,Crunchyroll
44,The Northman,3284,34233110,2022-04-22,Focus Features
45,The Bob's Burgers Movie,3425,31933830,2022-05-27,20th Century Studios
46,Beast,3754,31846530,2022-08-19,Universal Pictures
