movie,num_days,first_date,mn_num_releases,md_num_releases
Spider-Man: Across the Spider-Verse,17,2023-06-02,30,31
Spider-Man: Far from Home,17,2019-07-02,53,54
Spider-Man: Homecoming,10,2017-07-07,52,52
Spider-Man: Into the Spider-Verse,5,2018-12-14,61,61
Spider-Man: No Way Home,43,2021-12-17,26,26
Spiral,14,2021-05-14,28,28
Split,18,2017-01-20,48,48
Star Trek Beyond,7,2016-07-22,49,48
Star Wars: Episode IX - The Rise of Skywalker,21,2019-12-20,52,52
Star Wars: Episode VII - The Force Awakens,25,2015-12-18,47,47
Star Wars: Episode VIII - The Last Jedi,17,2017-12-15,45,44
Suicide Squad,20,2016-08-05,52,53
Sully,14,2016-09-09,63,62
Super Troopers 2,1,2018-04-20,57,57
Superman,14,2025-07-11,30,30
Swallow,1,2020-04-10,2,2
Taylor Swift: The Eras Tour,8,2023-10-13,42,42
Taylor Swift: The Official Release Party of a Showgirl,3,2025-10-03,38,38
Teenage Mutant Ninja Turtles: Out of the Shadows,7,2016-06-03,44,44
Tenet,36,2020-09-03,17,17
Terminator: Dark Fate,7,2019-11-01,55,55
Terrifier 3,6,2024-10-11,44,44
The Accountant,7,2016-10-14,70,70
The Angry Birds Movie,3,2016-05-20,52,52
The Bad Guys,11,2022-04-22,29,29
The Batman,21,2022-03-04,32,33
The Beekeeper,7,2024-01-22,45,45
The Best Christmas Pageant Ever,1,2024-11-08,45,45
The Blind,1,2023-09-28,37,37
The Boss,5,2016-04-08,46,45
The Boss Baby,10,2017-03-31,53,53
The Boy and the Heron,7,2023-12-08,38,39
The Call of the Wild,4,2020-02-21,56,56
The Chosen Season 3 Finale,1,2023-02-02,35,35
The Chosen: S4 Episodes 1-3,1,2024-02-01,45,45
The Color Purple,1,2023-12-25,44,44
The Conjuring 2,7,2016-06-10,46,45
The Conjuring: Last Rites,7,2025-09-05,39,39
The Conjuring: The Devil Made Me Do It,3,2021-06-04,29,29
The Croods: A New Age,45,2020-11-25,23,23
The Curse of La Llorona,6,2019-04-19,68,69
The Dark Tower,1,2017-08-04,52,52
The Divergent Series: Allegiant,1,2016-03-18,52,52
The Emoji Movie,1,2017-07-28,52,52
The Equalizer 2,2,2018-07-21,54,54
The Equalizer 3,7,2023-09-01,39,40
The Exorcist: Believer,10,2023-10-06,43,44
The Expendables 4,2,2023-09-22,40,40
The Fall Guy,7,2024-05-03,38,37
The Fantastic Four: First Steps,14,2025-07-25,29,29
The Fate of the Furious,21,2017-04-14,53,52
The Flash,5,2023-06-16,28,26
The Garfield Movie,9,2024-05-27,31,31
The Gentlemen,5,2020-03-20,1,1
The Girl on the Train,7,2016-10-07,65,65
The Grinch,11,2018-11-09,63,63
The Hitman's Bodyguard,21,2017-08-18,57,53
The House with a Clock in Its Walls,7,2018-09-21,63,64
The Hunger Games: The Ballad of Songbirds & Snakes,15,2023-11-17,32,32
The Invisible Man,7,2020-02-28,54,53
The Invitation,3,2022-08-26,41,41
The Jungle Book,21,2016-04-15,43,43
The Lego Batman Movie,8,2017-02-11,49,48
The Lego Movie 2: The Second Part,6,2019-02-08,61,60
The Lion King,16,2019-07-19,50,50
The Little Mermaid,7,2023-05-26,37,36
The Little Things,13,2021-01-29,21,21
The Lost City,7,2022-03-25,37,36
The Magnificent Seven,7,2016-09-23,65,66
The Marksman,12,2021-01-15,20,19
The Marvels,7,2023-11-10,38,38
The Meg,5,2018-08-10,48,48
The New Mutants,6,2020-08-28,12,12
The Northman,2,2022-04-25,28,28
The Nun,7,2018-09-07,63,63
The Nun II,14,2023-09-08,37,37
The Other Lamb,13,2020-04-03,1,1
The Post,3,2018-01-18,48,48
The Predator,6,2018-09-14,69,68
The Purge: Election Year,1,2016-07-01,44,44
The Rental,20,2020-07-24,9,9
The Revenant,14,2016-01-08,45,45
