,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2020,,,,,,
2020,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
78,Once Upon a Time... in Hollywood,"$1,425,760 ","3,659","$142,502,728 ",26-Jul,Sony Pictures Releasing
79,Jurassic Park,"$1,386,600 ",316,"$1,386,600 ",19-Jun,Universal Pictures
,2020 Re-release,,,,,
80,2 Hearts,"$1,349,286 ","1,683","$1,349,286 ",16-Oct,Freestyle Releasing
81,Promising Young Woman,"$1,208,180 ","1,448","$6,460,965 ",25-Dec,Focus Features
82,True to the Game 2,"$1,200,871 ",281,"$1,200,871 ",6-Nov,Faith Media Distribution
83,Peninsula,"$1,140,525 ",151,"$1,231,407 ",7-Aug,Well Go USA Entertainment
84,The Assistant,"$1,100,313 ",25,"$1,100,313 ",31-Jan,Bleecker Street Media
85,Love and Monsters,"$1,070,714 ",387,"$1,070,714 ",16-Oct,Paramount Pictures
86,Relic,"$1,046,653 ",133,"$1,047,083 ",3-Jul,IFC Films
87,The Tax Collector,"$1,044,212 ",138,"$1,044,212 ",7-Aug,RLJ Entertainment
88,The Last Shift,"$1,034,467 ",886,"$1,034,467 ",25-Sep,Stage 6 Films
89,Becky,"$1,020,413 ",54,"$1,004,574 ",5-Jun,Quiver Distribution
90,The Song of Names,"$983,357 ",182,"$1,077,584 ",25-Dec,Sony Pictures Classics
91,All My Life,"$899,585 ",970,"$913,935 ",4-Dec,Universal Pictures
92,Mafia Inc,"$889,863 ",85,"$889,863 ",14-Feb,Entertainment One
93,National Lampoon's Christmas Vacation,"$871,000 ",620,"$871,000 ",25-Nov,Warner Bros.
,2020 Re-release,,,,,
94,Jay and Silent Bob Reboot,"$857,744 ",788,"$4,589,490 ",15-Oct,Saban Films
95,A Hidden Life,"$853,047 ",151,"$1,730,597 ",13-Dec,Fox Searchlight Pictures
96,Cut Throat City,"$845,837 ",389,"$855,894 ",21-Aug,Well Go USA Entertainment
97,The Goonies,"$825,000 ",457,"$825,000 ",10-Jul,Warner Bros.
,2020 Re-release,,,,,
98,Sarileru Neekevvaru,"$821,000 ",300,"$821,000 ",10-Jan,Great India Films
99,Vanguard,"$793,525 ","1,375","$793,525 ",20-Nov,Gravitas Ventures
100,21 Bridges,"$792,488 ","2,665","$28,539,757 ",22-Nov,STX Entertainment
101,Jaws,"$758,300 ",187,"$758,300 ",19-Jun,Universal Pictures
,2020 Re-release,,,,,
102,Possessor,"$752,885 ",320,"$752,885 ",2-Oct,Neon
103,After We Collided,"$734,210 ",546,"$2,386,483 ",23-Oct,Open Road Films (II)
104,Coco,"$734,000 ","3,987","$210,460,015 ",22-Nov,Walt Disney Studios Motion Pictures
105,Toy Story,"$727,000 ","2,102","$727,000 ",6-Nov,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
106,"Monsters, Inc.","$726,000 ","1,875","$726,000 ",23-Oct,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
107,Baaghi 3,"$721,439 ",265,"$721,439 ",6-Mar,FIP
108,The Santa Clause,"$706,000 ","1,581","$706,000 ",20-Nov,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
109,Patterns of Evidence: The Red Sea Miracle,"$696,191 ",807,"$696,191 ",18-Feb,Fathom Events
110,Pain and Glory,"$693,609 ",266,"$4,567,338 ",4-Oct,Sony Pictures Classics
111,The Polar Express,"$691,000 ",450,"$711,000 ",4-Dec,Warner Bros.
,2020 Re-release,,,,,
112,The Last Vermeer,"$685,380 ",912,"$685,380 ",20-Nov,TriStar Pictures
113,The Addams Family,"$678,926 ","1,307","$678,926 ",23-Oct,United Artists Releasing
,2020 Re-release,,,,,
114,Merci pour tout,"$636,925 ",76,"$1,073,969 ",25-Dec,Entertainment One
115,Maleficent: Mistress of Evil,"$634,868 ","3,820","$113,929,605 ",18-Oct,Walt Disney Studios Motion Pictures
116,Ghostbusters,"$605,000 ",622,"$605,000 ",3-Jul,Columbia Pictures
,2020 Re-release,,,,,
117,Chhapaak,"$604,334 ",100,"$604,334 ",10-Jan,FIP
118,Shortcut,"$588,869 ",704,"$588,869 ",25-Sep,Gravitas Ventures
119,Panga,"$582,720 ",102,"$582,720 ",24-Jan,FIP
120,Midway,"$567,638 ","3,242","$56,846,802 ",8-Nov,Lionsgate
121,Black Christmas,"$562,060 ","2,625","$10,429,730 ",13-Dec,Universal Pictures
122,Synchronic,"$542,753 ",327,"$636,673 ",23-Oct,Well Go USA Entertainment
123,Guardians of the Galaxy,"$542,000 ","1,560","$542,000 ",13-Nov,Walt Disney Studios Motion Pictures
,2020 Re-release,,,,,
124,Color Out of Space,"$541,918 ",81,"$765,561 ",24-Jan,RLJ Entertainment
